target,model,C,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Sentiment,LogisticRegression,0.25,0.5900109769484083,0.5914493099267576,0.5901233132433698,0.5906612522066599,0.590576803097771
Sentiment,LogisticRegression,0.5,0.5911086717892426,0.5929160997096596,0.5911621217399577,0.5918878858392681,0.5917426790769235
Sentiment,LogisticRegression,1.0,0.5965971459934138,0.5986379411395493,0.5965099757270709,0.5972502310574348,0.5971669250239213
Sentiment,LogisticRegression,2.0,0.5938529088913282,0.596362355058957,0.5936931910208172,0.5945565829462526,0.5945215943144504
Sentiment,LogisticRegression,4.0,0.5878155872667399,0.5910534714445479,0.5876620166151133,0.5887317254726694,0.5886702889088471
Sentiment,LogisticRegression,8.0,0.5817782656421515,0.5848026498282124,0.5815749949149224,0.5824546275121478,0.5823996888842636
Sentiment,LinearSVM,0.25,0.5905598243688255,0.5923505672010783,0.5905128958252532,0.5912103948193151,0.5911234380483067
Sentiment,LinearSVM,0.5,0.5801317233809001,0.582516306464476,0.5800521879437536,0.5809297338555243,0.5808457837879554
Sentiment,LinearSVM,1.0,0.5735455543358946,0.5762017132874363,0.5734129787612093,0.5743215305150526,0.5742535989125785
Sentiment,LinearSVM,2.0,0.5762897914379802,0.5781490003798493,0.5761331879237794,0.5767135774410853,0.5766655754350498
Sentiment,LinearSVM,4.0,0.5675082327113062,0.5694928412904323,0.5673635998818934,0.5679419603478014,0.5678663172499838
Topic,LogisticRegression,0.25,0.9286498353457738,0.8623247453565009,0.5592445490685428,0.6488040419912378,0.9177814469817802
Topic,LogisticRegression,0.5,0.9297475301866082,0.8984685759745425,0.5555592687946873,0.6492001878894891,0.9176483344794243
Topic,LogisticRegression,1.0,0.9324917672886938,0.9108102345415778,0.554530099946692,0.6451843360856341,0.9196757484521538
Topic,LogisticRegression,2.0,0.933589462129528,0.9368054426193961,0.5520810055865921,0.6421290375578992,0.9200544600701466
Topic,LogisticRegression,4.0,0.9330406147091108,0.9366670278470041,0.5506843575418994,0.6410829803392685,0.9194181018913363
Topic,LogisticRegression,8.0,0.9330406147091108,0.9366670278470041,0.5506843575418994,0.6410829803392685,0.9194181018913363
Topic,LinearSVM,0.25,0.9237102085620198,0.9083649388959124,0.4986545623836126,0.5796528408217054,0.9060475824756021
Topic,LinearSVM,0.5,0.9302963776070252,0.9189319667260843,0.5267877094972068,0.6093300666009099,0.9146146629413808
Topic,LinearSVM,1.0,0.9319429198682766,0.9262896825396826,0.5337476722532588,0.6181094694683594,0.9170128456844142
Topic,LinearSVM,2.0,0.9341383095499451,0.9407319013524265,0.5562476722532588,0.6482676603336709,0.9211079364229581
Topic,LinearSVM,4.0,0.9341383095499451,0.9407319013524265,0.5562476722532588,0.6482676603336709,0.9211079364229581
Topic,LinearSVM,8.0,0.9346871569703622,0.9440757749712974,0.5604143389199254,0.6542401877266133,0.922139685615827
