comment_id,video_id,video_title,comment_text,comment_published_at,comment_updated_at,comment_like_count,comment_reply_count,comment_engagement,video_published_at,video_view_count,video_like_count,video_comment_count,video_engagement,channel_title,search_query,source,collection_timestamp,video_url,sentiment_label,sentiment_confidence
Ugy3l982YMXm3pCevYN4AaABAg,2u1OIRkmPgc,how to get 5 million impression on Twitter | x per 5 million impression kaise kare | x monetization,Kya fayada ab to payout ane band hogye h😢,2026-08-05 09:02:24+00:00,2026-08-05T09:02:24Z,1,4,5,2026-07-25T14:07:47Z,1239,35,5,40,X file,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=2u1OIRkmPgc,Neutral,0.6983537077903748
Ugz01GXAYMOFQRCLKO14AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा",Meri lanka lag gai😬,2026-08-08 12:59:25+00:00,2026-08-08T12:59:25Z,2,1,3,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.5965879559516907
UgwPNpxr9ZC1YYEgzpp4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,I've been waiting for your video on this Sir,2026-08-08 15:17:30+00:00,2026-08-08T15:17:30Z,14,1,15,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.6947338581085205
UgyIOsooQs1N1lK7FSF4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा",Lag gyi ekdam se!,2026-08-08 15:55:30+00:00,2026-08-08T15:55:30Z,4,0,4,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Positive,0.7554978728294373
UgyGW0eCU7yaYHqlLhB4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,Finally 😂😂,2026-08-08 16:00:51+00:00,2026-08-08T16:00:51Z,2,0,2,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Neutral,0.4522102177143097
UgxIB0UdmeBcgQOVW4l4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,what about big account always used Elon Musk as contents like CB Doge,2026-08-08 16:43:09+00:00,2026-08-08T16:43:09Z,3,0,3,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Neutral,0.5694566965103149
UgyIGBHZYP4GcIqxzgV4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,What will small creator do who depend on rplies like engagement farming what content we have to post make a video to complete 500k impressions,2026-08-08 16:58:22+00:00,2026-08-08T16:58:22Z,7,0,7,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Neutral,0.5266490578651428
UgwWdZ2T8AiGp5etKrR4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,I was just waiting for your video this entire day. Thank you.,2026-08-08 18:10:21+00:00,2026-08-08T18:10:21Z,4,0,4,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.9124354720115662
UgzHfc1hnNiXYaFWt4Z4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,monetized creators now will get 4-5x or even 6x the payout amount,2026-08-08 18:33:23+00:00,2026-08-08T18:33:23Z,7,3,10,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Neutral,0.6309505701065063
UgzfNuPb8bLPh85e1nt4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,Thank you for this very informative video.,2026-08-08 19:10:52+00:00,2026-08-08T19:10:52Z,1,0,1,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.9171568155288696
Ugwl8JrKH0LmHhXMnAt4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,Thanks for sharing your views on this coach,2026-08-09 09:47:14+00:00,2026-08-09T09:47:14Z,4,0,4,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.8607944250106812
UgwU8jQeqfF4ab1mR8F4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा",Lag gyi guru 😅,2026-08-09 12:43:35+00:00,2026-08-09T12:43:35Z,2,1,3,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.561901867389679
