user_id,location,follower_count,post_count,avg_engagement,total_engagement
user_fgjkkrie,"Lyon, France",2211,13,4498.46,58480
user_9mtets0p,"Johannesburg, South Africa",8262,13,4397.77,57171
user_uerv85na,"Rome, Italy",1824,12,4406.33,52876
user_14ibkds2,Singapore,7361,12,4235.0,50820
user_zq2nib62,"Delhi, India",5153,11,4545.55,50001
user_g9g7onlw,"Munich, Germany",7981,11,4430.45,48735
user_68enpikx,"Houston, USA",9364,10,4663.8,46638
user_t38nl55r,"Berlin, Germany",6743,10,4597.2,45972
user_xi0hyp64,"Barcelona, Spain",5346,11,4106.09,45167
user_w4p8zi5g,"Madrid, Spain",7103,11,4035.64,44392
user_acrnl9py,"Vancouver, Canada",5971,9,4797.11,43174
user_txrypced,"Rome, Italy",2479,10,4289.6,42896
user_cqaitbuv,"Johannesburg, South Africa",3382,9,4694.22,42248
user_cssz1rea,"Tokyo, Japan",7863,10,4217.9,42179
user_ha9bzru4,"Toronto, Canada",608,10,4182.6,41826
user_njtvacei,"Dubai, UAE",8100,9,4646.56,41819
user_rr1uzkql,"Milan, Italy",1069,10,4176.2,41762
user_0aacyvtz,"Rome, Italy",1452,9,4611.0,41499
user_d8ouiga8,"Los Angeles, USA",5270,9,4469.0,40221
user_5k81svok,"Milan, Italy",8124,9,4400.44,39604
user_kbdvf8d6,"Tokyo, Japan",4645,8,4845.75,38766
user_tjzr3rrj,"New York, USA",5652,8,4718.38,37747
user_yhe9m0z0,"Beijing, China",1655,7,5270.86,36896
user_yrth0u5v,"Milan, Italy",6499,8,4599.88,36799
user_2lslaaod,"Lyon, France",7105,7,5187.86,36315
user_d88b8qoh,"São Paulo, Brazil",1569,8,4405.38,35243
user_8bslqcpy,"Madrid, Spain",2241,8,4394.38,35155
user_jrqo44md,"Munich, Germany",3826,8,4375.25,35002
user_jh3b8sqc,"São Paulo, Brazil",7366,8,4371.75,34974
user_xyvxp8vz,"London, UK",6702,8,4338.63,34709
user_ogtvuuki,"Cairo, Egypt",4459,7,4905.43,34338
