location,post_count,total_engagement
"Los Angeles, USA",379,1522219
"Munich, Germany",376,1504075
"Shanghai, China",368,1469495
"Barcelona, Spain",356,1460576
"Dubai, UAE",339,1378631
"Rio de Janeiro, Brazil",336,1326328
"Melbourne, Australia",325,1316914
"Mumbai, India",332,1310786
"Houston, USA",330,1303324
"Osaka, Japan",312,1285868
"London, UK",313,1281551
"Milan, Italy",318,1269774
"Johannesburg, South Africa",324,1260719
"Chicago, USA",308,1240575
"New York, USA",306,1229137
"São Paulo, Brazil",311,1222166
"Beijing, China",299,1216531
"Paris, France",301,1212516
"Berlin, Germany",293,1176812
Singapore,285,1158272
"Tokyo, Japan",283,1140120
"Toronto, Canada",277,1126031
"Vancouver, Canada",278,1081984
"Manchester, UK",270,1081299
"Mexico City, Mexico",253,1031629
"Rome, Italy",264,1028230
"Cairo, Egypt",249,1017123
"Delhi, India",238,962419
"Madrid, Spain",237,945938
"Seoul, South Korea",233,909463
"Lyon, France",236,896907
"Lagos, Nigeria",183,712645
"Sydney, Australia",165,689986
